tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
32951076,32951077,1030,88846c0766ff0c66d4638a0bae407c42ff663c7e,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",72.13,254
32978788,32978789,1031,0b777f53f833a570366b5c434450c9c3e068b2fb,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",90.82999999999998,333
33058452,33058453,1032,a156d8421882d59c6e15e13cd5c16d92254995df,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",120.09000000000002,438
33106354,33106355,1033,3f7e48bba9626300093014ae95612eaef6d65904,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",96.89,419
33111134,33111135,1034,f1d997357f84278a3bd9a0148da8a8d0b6809263,java,unknown,,java-maven,"",false,,,,,,,,,"",0,
33111897,33111898,1035,0621eeaf9e03e75c691a10feffce8e1aba7a28fb,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",137.05999999999995,501
33115506,33115507,1036,024f7dd4f81423c5004aed4f53ce98d5aec3611d,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",91.6,331
33118776,33118777,1037,216a645f8ec84c9e3afca06c7c62942b21a6c3a9,java,ok,,java-maven,junit,true,false,19,0,19,0,,,,"",83.32,299
33216805,33216806,1038,502aa98bcebb5871979920da0f21b5bd1926c16c,java,ok,,java-ant,"",false,,,,,,,,,"",,807
33220866,33220867,1039,c32042c995899b7f052d083a395a629c5c9dd329,java,ok,,java-ant,"",false,,,,,,,,,"",,477
10532646,10532647,103,cdc9e0cbaea1734f011fd7b8d7fb1979d74657b6,java,ok,,java-maven,"",false,,,,,,,,,"",0,0
33272478,33272479,1040,cca9a9a851c5b2a63ec8017a7d86a2a5d32b726e,java,broken,,java-maven,junit,true,false,569,0,569,0,,,,"",194.91000000000017,
33280860,33280861,1041,5712574220a952a652f3585dcc34dbd782352d64,java,ok,,java-ant,"",false,,,,,,,,,"",,562
33282111,33282112,1042,5448589e33162d984e6a0a94082f230678af8108,java,broken,,java-maven,junit,true,false,569,0,569,0,,,,"",230.15,
33283223,33283224,1043,c75f7b11b89b5d32baa03922a9084272d3772eaf,java,ok,,java-ant,"",false,,,,,,,,,"",,684
33292501,33292502,1044,7ce674eec0a1ecbcbe86c2bf19298de364321886,java,ok,,java-ant,"",false,,,,,,,,,"",,636
33300090,33300091,1045,5cfebe8605d01414beea42ec77f929f3d6730f1f,java,ok,,java-ant,"",false,,,,,,,,,"",,527
33302288,33302289,1046,bb55980ae116cdf7ada32c3c4efa6a069b0390a5,java,ok,,java-ant,"",false,,,,,,,,,"",,630
33351599,33351600,1047,2211c53f2c7e8bddcdb30df7b8eba1f8332c248a,java,ok,,java-ant,"",false,,,,,,,,,"",,442
33495581,33495582,1048,c62cbb54a131bc84b982b27718999bba6cc53613,java,ok,,java-ant,"",false,,,,,,,,,"",,591
33496698,33496699,1049,2a73c05ae894cab43b6805f2b46753c7023c60b1,java,ok,,java-ant,"",false,,,,,,,,,"",,641
10540308,10540309,104,f039ee334a97203203deb15d97b3e88855cfbe76,java,ok,,java-maven,"",false,,,,,,,,,"",0,0
33511021,33511022,1050,6ec8c592a965458911bc035973ff871dca763708,java,ok,,java-ant,"",false,,,,,,,,,"",,646
33526549,33526550,1051,498d0e4e2e2ca9b8c77e5b6eb40e247b76f68835,java,ok,,java-ant,"",false,,,,,,,,,"",,520
33593426,33593427,1052,c26407cc760fd7e56cf960ff4aab38e041be2e46,java,ok,,java-ant,"",false,,,,,,,,,"",,570
33731196,33731197,1053,b32026b7ac37d0bd40c4ac58bfcbd057ea9ba895,java,ok,,java-ant,"",false,,,,,,,,,"",,606
33733220,33733221,1054,c2f945a5cb68a94e7d5abbe9896d7b173374f854,java,ok,,java-ant,"",false,,,,,,,,,"",,672
33740830,33740831,1055,659c00fcbdab075ec6829c6122bbbed5f016bca7,java,ok,,java-ant,"",false,,,,,,,,,"",,613
33780324,33780325,1056,771f35a31d3f9e27960b641d547715183e0d02df,java,ok,,java-ant,"",false,,,,,,,,,"",,616
33781114,33781115,1057,2dec016ed2019effbd46ad902afa8037aa761788,java,ok,,java-ant,"",false,,,,,,,,,"",,582
33805957,33805958,1058,260f2d219ad3105e4d7805f93a767499d4310952,java,ok,,java-ant,"",false,,,,,,,,,"",,719
33806469,33806470,1059,4dae416bc925f21d3502673f8ab84846bca8c0da,java,ok,,java-ant,"",false,,,,,,,,,"",,611
10541605,10541606,105,1b1cdd0b7e36c54090ed5ec0f66202d9523a05ed,java,ok,,java-maven,"",false,,,,,,,,,"",0,0
33806821,33806822,1060,1852efe7466f17939ff76c76319d1b8811c7d9df,java,ok,,java-ant,"",false,,,,,,,,,"",,698
33813934,33813935,1061,8fee9f8f639d609e7b2a017ce5bac99054db88be,java,ok,,java-ant,"",false,,,,,,,,,"",,618
33815894,33815895,1062,1095c0598c9cf5c42237008880844e9531345263,java,ok,,java-ant,"",false,,,,,,,,,"",,629
33843842,33843843,1063,aead82e7299195a08fd6f30a153fc0ed653d9961,java,ok,,java-ant,"",false,,,,,,,,,"",,523
33844597,33844598,1064,78c72d8c83f839e382db444c48ffde3d29aec5b9,java,ok,,java-ant,"",false,,,,,,,,,"",,624
33845039,33845040,1065,52177aaabead353c28f936b4144bfc70ba9f7857,java,ok,,java-ant,"",false,,,,,,,,,"",,638
33845583,33845584,1066,eee57e0d4e86ba410bec78a02c560dfd44026ea6,java,ok,,java-ant,"",false,,,,,,,,,"",,594
33882429,33882430,1067,352b29c7d732bd5dd66419960f8b8397ab3c6926,java,ok,,java-ant,"",false,,,,,,,,,"",,585
34103809,34103810,1068,8eb287181d77f1fd30a3cafe427c708f72fb852a,java,ok,,java-ant,"",false,,,,,,,,,"",,617
34128567,34128568,1069,749d888fa088f5869de906084e0e07153f32a348,java,ok,,java-ant,"",false,,,,,,,,,"",,541
