build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
135811109,e8a3c25ae9c9b69b64a6dc18a022534007d0ebd9,,changelog,failed,1271,2016-06-07 08:48:19 UTC,"[135811110, 135811111]",push
135787219,438066ae7268e63f26043af00a8c18238f49113e,711,master,passed,1725,2016-06-07 09:05:04 UTC,"[135787220, 135787221]",pull_request
135787216,5f362f1063b2ca2b8e54052a6a63e90f58afd188,,handle_sensitive_data_in_CLI,passed,1744,2016-06-07 06:40:44 UTC,"[135787217, 135787218]",push
135668108,caf13fcaf382caa2f343316d1c82ec2345aadd24,713,master,passed,1815,2016-06-06 18:25:48 UTC,"[135668111, 135668112]",pull_request
135662470,a67a2bba31af2fdb81a4aeec430c7b4406f7cf17,713,master,passed,1716,2016-06-06 18:02:09 UTC,"[135662471, 135662472]",pull_request
135617451,6c7b84c865697ffe0964a71327ffa0dca32ffab3,711,master,failed,263,2016-06-06 15:04:25 UTC,"[135617453, 135617456]",pull_request
135617447,336f94f1c872eb49a8125d2900e234f59261db3a,,handle_sensitive_data_in_CLI,failed,258,2016-06-06 15:04:24 UTC,"[135617448, 135617449]",push
135558236,3a6ea348013b148ac41b48386a732d70e80e4419,713,master,passed,1680,2016-06-06 11:05:36 UTC,"[135558237, 135558241]",pull_request
135553369,81841c245fa1340dac18b146a2b58bbcbb6708b1,714,master,passed,1689,2016-06-06 10:14:18 UTC,"[135553370, 135553371]",pull_request
135553232,a613835ff6deafc287f6d78e9e3888719f48f21f,,incorrect_type,passed,2352,2016-06-06 14:08:32 UTC,"[135553233, 135553234]",push
135535778,a1072036405f4f8dd681667b2769211bd9fcf57c,,master,passed,2111,2016-06-06 08:36:43 UTC,"[135535779, 135535780]",push
135524299,783af3c944d67269dafd5e85eaf36cec026f71b4,711,master,failed,314,2016-06-06 07:20:49 UTC,"[135524300, 135524305]",pull_request
135524286,2ab7481a16e2d31839ea5e2a82c99ce9a2c6d3d5,,handle_sensitive_data_in_CLI,failed,306,2016-06-06 07:20:50 UTC,"[135524287, 135524288]",push
135520093,334e2d5a5a1625aa309daca5ea771c8432c5c035,713,master,passed,1847,2016-06-06 06:46:37 UTC,"[135520094, 135520095]",pull_request
135367018,45d86dad64e2043b516491ec7086dc5c45cab245,713,master,passed,1735,2016-06-05 07:53:12 UTC,"[135367019, 135367020]",pull_request
135030787,0bb6310a122bafee35d46d645cc6ac9f3e6a61fb,712,master,passed,1738,2016-06-03 14:01:18 UTC,"[135030788, 135030791]",pull_request
135030156,0258d48aa8fa8aab00fc83fff8e214d1bc0b1371,,sensitive_sp,passed,1712,2016-06-03 14:32:01 UTC,"[135030157, 135030158]",push
134972452,fbdd5148caea6fcf598250003f4494b2eb94b179,711,master,passed,1691,2016-06-03 08:58:33 UTC,"[134972453, 134972454]",pull_request
134972024,f8a5b67a5aed5d94267708c1764463aaf3798e84,,handle_sensitive_data_in_CLI,passed,1725,2016-06-03 08:56:41 UTC,"[134972025, 134972026]",push
134711188,87a5cd0d148c0c25953ef95d5a6a5e8a239fd5ca,,master,passed,1674,2016-06-02 11:01:22 UTC,"[134711189, 134711190]",push
134707753,0cb16801bb70ad783881b408b405d6af9695094f,,Inputs_initialized_with_null,passed,1667,2016-06-02 10:43:30 UTC,"[134707754, 134707755]",push
134707748,517532810b0d2bd780acf17d3b2d4688d61ec366,694,master,failed,891,2016-06-02 10:43:30 UTC,"[134707750, 134707752]",pull_request
134704177,539d120d8f01e104030ca2972128dd0fb19d2d26,,master,passed,1661,2016-06-02 10:25:37 UTC,"[134704178, 134704179]",push
134700228,4fc2718d7c981915d08bca33e0a2e92de4485aa3,709,master,failed,1278,2016-06-02 10:06:30 UTC,"[134700229, 134700230]",pull_request
134700068,f623080d1d58d76fc5958c58c13505eccb79cc96,,events,passed,1684,2016-06-02 10:05:35 UTC,"[134700069, 134700071]",push
134679741,0a716fc448e7f86d91ffd5c227f4f04a2a6be46c,,master,passed,1724,2016-06-02 10:05:42 UTC,"[134679742, 134679743]",push
134668609,95be73aa4f9873eb5c5844317d316ba81a8b4b0b,694,master,passed,1746,2016-06-02 07:27:25 UTC,"[134668610, 134668611]",pull_request
